"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PRR13",2.28484535994204e-173,0.664936199317857,0.362,0.077,5.97281425542449e-169,"2","PRR13"
"TPM3",3.51035211199334e-173,0.79541286945465,0.896,0.382,9.1764114559618e-169,"2","TPM3"
"CFL1",6.06201248955128e-173,0.712735288412181,0.82,0.303,1.5846706848936e-168,"2","CFL1"
"ANP32A",4.13828234104187e-172,0.587864053700385,0.412,0.097,1.08178838677176e-167,"2","ANP32A"
"ADRBK1",6.96587007489874e-172,0.703264347309078,0.437,0.108,1.82094809627928e-167,"2","ADRBK1"
"G6PD",7.69296866702642e-172,1.03498292795571,0.254,0.039,2.01101893924738e-167,"2","G6PD"
"CLTA",1.1407026532801e-171,0.810532543884969,0.287,0.05,2.98191080593951e-167,"2","CLTA"
"TGOLN2",1.2057687226859e-171,0.51079263259296,0.677,0.216,3.1520000179732e-167,"2","TGOLN2"
"HADHB",1.477353240319e-171,1.0287363330904,0.26,0.041,3.8619491055179e-167,"2","HADHB"
"GSR",4.51481049232479e-171,0.848582647584402,0.317,0.061,1.18021661079862e-166,"2","GSR"
"CD44",1.4385963095598e-170,0.552753683526703,0.643,0.201,3.76063461282026e-166,"2","CD44"
"NCOR2",2.11875008573769e-170,0.809399511366707,0.348,0.073,5.53862459912688e-166,"2","NCOR2"
"SP1",3.76443754431371e-170,0.71589719146502,0.367,0.08,9.84061618459046e-166,"2","SP1"
"SLC25A37",5.29484487958513e-170,0.708409111074819,0.289,0.051,1.38412539997235e-165,"2","SLC25A37"
"TM9SF2",6.20377210353799e-170,0.806884631352632,0.325,0.065,1.62172806558587e-165,"2","TM9SF2"
"HDLBP",6.41969958530465e-170,0.647521909015691,0.423,0.103,1.67817366859449e-165,"2","HDLBP"
"EIF4G1",1.83987854434683e-169,0.602966562021942,0.503,0.138,4.80962650277705e-165,"2","EIF4G1"
"HMGB2",2.9502322125828e-169,0.547272772268379,0.537,0.152,7.71220202691271e-165,"2","HMGB2"
"TPD52L2",3.19000716583021e-169,0.920123141396193,0.273,0.046,8.33899773219675e-165,"2","TPD52L2"
"CAPZA1",1.04872982076386e-168,0.488684686874861,0.529,0.148,2.7414846244588e-164,"2","CAPZA1"
"YPEL5",1.63604032627682e-168,0.549857542993999,0.43,0.106,4.27677301692025e-164,"2","YPEL5"
"SELPLG",2.23438374390997e-168,0.590812874594629,0.449,0.114,5.84090254495505e-164,"2","SELPLG"
"USP15",2.83886232973608e-168,0.579097224379415,0.544,0.156,7.42107001616308e-164,"2","USP15"
"GNG5",3.20092589892629e-168,0.657640818463474,0.315,0.061,8.36754039238321e-164,"2","GNG5"
"RBMS1",3.36838116280237e-168,0.574094039127525,0.418,0.1,8.80528519768169e-164,"2","RBMS1"
"LRRFIP1",4.93743440506235e-168,0.659592768201149,0.757,0.268,1.29069472782735e-163,"2","LRRFIP1"
"JUNB",1.0991601893133e-167,0.435007430407629,0.604,0.179,2.87331465088391e-163,"2","JUNB"
"CMIP",1.25192578064431e-166,0.704991064939286,0.329,0.067,3.27265918318228e-162,"2","CMIP"
"CAST",1.67482888639867e-166,0.546269147853856,0.574,0.17,4.37817019193477e-162,"2","CAST"
"MICAL1",2.38502643934013e-166,0.844305424390307,0.295,0.054,6.23469761507904e-162,"2","MICAL1"
"PHACTR2",3.46779108006031e-166,0.841431229049852,0.291,0.053,9.06515266238566e-162,"2","PHACTR2"
"SLC25A6",1.17726251114719e-165,0.556210060440244,0.515,0.145,3.07748193038987e-161,"2","SLC25A6"
"GNB1",1.38110305511372e-165,0.509763559125593,0.579,0.174,3.61034149637276e-161,"2","GNB1"
"RAB11FIP1",3.532307896437e-165,0.818797074671022,0.307,0.059,9.23380607207597e-161,"2","RAB11FIP1"
"PLCB2",6.13390789012153e-165,0.600251428351709,0.412,0.1,1.60346486155667e-160,"2","PLCB2"
"AP2M1",7.17397498318121e-165,0.620906715550371,0.397,0.094,1.8753488003534e-160,"2","AP2M1"
"CLTC",2.55401641663116e-164,0.562497118927448,0.44,0.112,6.67645431471552e-160,"2","CLTC"
"NIN",5.96708168714339e-164,0.464917114685068,0.597,0.181,1.55985482383615e-159,"2","NIN"
"NAAA",6.73151554009257e-164,0.856084180222333,0.252,0.04,1.7596854773356e-159,"2","NAAA"
"RTCB",6.98714878179612e-164,0.997732885339836,0.254,0.041,1.82651056304932e-159,"2","RTCB"
"TRIM25",1.05261517304063e-163,0.639026664763327,0.339,0.072,2.7516413238455e-159,"2","TRIM25"
"CD46",1.48861292769076e-163,0.544458339281154,0.39,0.092,3.89138305427642e-159,"2","CD46"
"RNF13",1.78998026595349e-163,0.926360116004227,0.273,0.048,4.67918741322901e-159,"2","RNF13"
"NAPA",4.62696262613739e-163,0.76928510456597,0.314,0.063,1.20953430009857e-158,"2","NAPA"
"BNIP2",7.28406175669946e-163,0.534062380039458,0.409,0.1,1.90412658381881e-158,"2","BNIP2"
"ITGA4",8.41285197391885e-163,0.604575711778321,0.597,0.187,2.19920363450213e-158,"2","ITGA4"
"SNX17",3.04344277127368e-162,0.794659823445441,0.298,0.057,7.95586374838652e-158,"2","SNX17"
"ISG151",1.32158476870433e-161,0.63289278910767,0.807,0.301,3.45475474386998e-157,"2","ISG15"
"PLEK",1.44846723198174e-161,0.622237957533265,0.807,0.298,3.78643819112345e-157,"2","PLEK"
"CD531",2.88883378468151e-161,0.524630251917195,0.704,0.237,7.55170039653592e-157,"2","CD53"
"CD55",5.79500780159092e-161,0.666090393683066,0.328,0.068,1.51487298941388e-156,"2","CD55"
"ACTR3",1.45295817161677e-160,0.451213479291948,0.623,0.196,3.7981779564234e-156,"2","ACTR3"
"JARID2",1.73667523863e-160,0.831997679041881,0.32,0.067,4.53984274130268e-156,"2","JARID2"
"IQGAP1",2.08478630043072e-160,0.672047414205255,0.847,0.339,5.44983986795594e-156,"2","IQGAP1"
"RCSD1",2.52461853492592e-160,0.462062569015704,0.528,0.152,6.59960531214984e-156,"2","RCSD1"
"TMEM1231",7.40129432433941e-160,0.578602051902451,0.76,0.273,1.93477234932557e-155,"2","TMEM123"
"TMEM127",7.51512720443963e-160,0.772881736685315,0.287,0.054,1.96452940251256e-155,"2","TMEM127"
"CD741",8.22011821822735e-160,0.810664291662874,0.891,0.395,2.14882110342681e-155,"2","CD74"
"ARHGAP27",9.82330479179659e-160,0.805384155597874,0.275,0.049,2.56791010562355e-155,"2","ARHGAP27"
"PATL1",1.48491197108861e-159,0.823083823415245,0.267,0.047,3.88170838362272e-155,"2","PATL1"
"KDM7A",1.22298292238145e-158,0.876235368358512,0.282,0.052,3.19699965739735e-154,"2","KDM7A"
"WASF2",5.35701960263812e-158,0.577944016188659,0.446,0.118,1.40037849432563e-153,"2","WASF2"
"MCL1",7.03444764434031e-158,0.588076363380897,0.778,0.287,1.838874958707e-153,"2","MCL1"
"PSMD4",2.42524842946597e-157,0.580606473573986,0.341,0.075,6.339841919467e-153,"2","PSMD4"
"SH3KBP1",3.27630143421792e-157,0.509035767483777,0.494,0.139,8.56457957918905e-153,"2","SH3KBP1"
"ZFP36L1",3.4161512849861e-157,0.677413334303075,0.399,0.099,8.93016107408217e-153,"2","ZFP36L1"
"STAT3",4.90393501721536e-157,0.44480945717605,0.533,0.157,1.28193765285027e-152,"2","STAT3"
"GLUD1",9.88722200920859e-157,0.640751166806084,0.336,0.073,2.58461870542722e-152,"2","GLUD1"
"ADPGK",1.38498418330164e-156,0.82648428661449,0.299,0.059,3.62048715356881e-152,"2","ADPGK"
"SNX1",2.28042229514938e-156,0.688183152811854,0.298,0.059,5.96125192174999e-152,"2","SNX1"
"CYBA1",2.441706034228e-156,0.441182391767098,0.639,0.206,6.38286374407541e-152,"2","CYBA"
"H3F3A",3.02403510841461e-156,0.595386490133289,0.372,0.088,7.90513017690662e-152,"2","H3F3A"
"IFIT3",8.43807075356614e-156,0.492783287799235,0.622,0.201,2.20579607568973e-151,"2","IFIT3"
"EMP3",8.95897149899414e-156,0.772583644527545,0.271,0.049,2.34196473955206e-151,"2","EMP3"
"MAP7D1",1.96647665728656e-155,0.541810347676337,0.409,0.103,5.1405666298128e-151,"2","MAP7D1"
"MAP3K8",2.80394647629735e-155,0.707478071184252,0.31,0.063,7.3297964836889e-151,"2","MAP3K8"
"JUN1",8.25542781282156e-155,0.831587520411698,0.554,0.177,2.15805138454968e-150,"2","JUN"
"TLN1",1.42790910206982e-154,0.608808553476266,0.877,0.364,3.73269718372071e-150,"2","TLN1"
"FAM32A",1.4497602496688e-154,0.85188975286313,0.268,0.049,3.7898182686592e-150,"2","FAM32A"
"MAP4K4",1.70973097953732e-154,0.591434488827951,0.408,0.103,4.4694077536085e-150,"2","MAP4K4"
"ANXA7",2.62380871402823e-154,0.691650994986734,0.284,0.054,6.85889835934121e-150,"2","ANXA7"
"GNAI3",1.13000456086449e-153,0.705686182988228,0.29,0.057,2.95394492255585e-149,"2","GNAI3"
"MIS18BP1",1.57602275877069e-153,0.859599239498719,0.293,0.059,4.11988109370246e-149,"2","MIS18BP1"
"PPP1R18",2.04111064799137e-153,0.559434605261537,0.391,0.096,5.33566734491423e-149,"2","PPP1R18"
"DBNL",2.44618446339955e-153,0.52618211031288,0.407,0.104,6.39457080577278e-149,"2","DBNL"
"MAP3K11",2.89541898252154e-153,0.901454484866986,0.25,0.043,7.56891476220955e-149,"2","MAP3K11"
"MKRN1",3.68899106195229e-153,0.474203642707162,0.448,0.121,9.64339153504948e-149,"2","MKRN1"
"HIST2H2AA4",8.02586855677297e-153,0.498127379090612,0.336,0.075,2.09804229942602e-148,"2","HIST2H2AA4"
"PER1",4.1054796659175e-152,0.835835208431227,0.254,0.044,1.07321343946749e-147,"2","PER1"
"ERP29",4.6934369883286e-152,0.468254356082464,0.495,0.143,1.22691136311898e-147,"2","ERP29"
"GMIP",8.7639342351824e-152,0.962316401350411,0.264,0.048,2.29098004841903e-147,"2","GMIP"
"ZEB2",1.50269116006645e-151,0.430744217062877,0.536,0.159,3.92818496152971e-147,"2","ZEB2"
"RUNX1",2.39163445653561e-151,0.653639505092437,0.334,0.075,6.25197163282974e-147,"2","RUNX1"
"STK17B",3.89735636682319e-151,0.436724966934987,0.656,0.219,1.01880792785125e-146,"2","STK17B"
"MVP",1.51881117969891e-150,0.545345552064808,0.371,0.09,3.97032430485091e-146,"2","MVP"
"EIF2S3",1.8273955983672e-150,0.534039896321288,0.326,0.072,4.77699483369171e-146,"2","EIF2S3"
"CARD16",8.61511468064655e-150,0.377104544971895,0.343,0.078,2.25207712866781e-145,"2","CARD16"
"IFIH1",1.2875137431495e-149,0.603155354653311,0.339,0.077,3.3656896759671e-145,"2","IFIH1"
"C1orf43",1.35028711028875e-149,0.739891232111783,0.272,0.052,3.52978553500582e-145,"2","C1orf43"
"HIPK3",2.43864790314787e-149,0.534543478867042,0.328,0.073,6.37486948361884e-145,"2","HIPK3"
"HOOK3",4.98825190229463e-149,0.607783291666054,0.362,0.087,1.30397892977884e-144,"2","HOOK3"
"FAM129A",8.52992482950373e-149,0.394853074178756,0.449,0.123,2.22980764968057e-144,"2","FAM129A"
"IER2",1.45337708361009e-148,0.718511433104034,0.31,0.066,3.79927303426513e-144,"2","IER2"
"TSPAN14",1.65627921364544e-148,0.391616406870601,0.448,0.122,4.32967949239053e-144,"2","TSPAN14"
"NRD1",2.72019741187915e-148,0.367621148552597,0.455,0.127,7.11086805439328e-144,"2","NRD1"
"DNAJA1",3.3082036697025e-148,0.497735753813413,0.382,0.095,8.6479752129693e-144,"2","DNAJA1"
"SASH3",4.7888311483898e-148,0.611552556010757,0.319,0.07,1.25184835050058e-143,"2","SASH3"
"MTDH",4.94294301583167e-148,0.418261337709563,0.61,0.196,1.29213473376856e-143,"2","MTDH"
"YWHAB",1.28141132254071e-147,0.662056881577606,0.868,0.366,3.34973733825367e-143,"2","YWHAB"
"SHISA5",1.28839079191105e-147,0.401587547650444,0.545,0.166,3.36798236913466e-143,"2","SHISA5"
"RAD23B",1.92434924738964e-147,0.605791826397332,0.352,0.084,5.03044136760126e-143,"2","RAD23B"
"ACTG11",3.02755097205857e-147,0.662695772783415,0.834,0.339,7.91432099605831e-143,"2","ACTG1"
"LARP4B",5.32519955608634e-147,0.635383385807762,0.322,0.072,1.39206041595653e-142,"2","LARP4B"
"HLA-DRB11",1.87351252004762e-146,0.665816112648009,0.692,0.252,4.89754907865647e-142,"2","HLA-DRB1"
"DEK",2.11146932684493e-146,0.465211396229102,0.476,0.136,5.51959196730534e-142,"2","DEK"
"PRDX1",2.55886920016579e-146,0.867588801705171,0.258,0.048,6.68913997615339e-142,"2","PRDX1"
"PSMB3",4.77479417849801e-146,0.55260331879226,0.347,0.082,1.24817894620116e-141,"2","PSMB3"
"CLIC1",1.02096774873782e-145,0.579195928600116,0.295,0.061,2.66891179197555e-141,"2","CLIC1"
"GHITM",2.32461288112461e-145,0.393106544430833,0.405,0.106,6.07677053254784e-141,"2","GHITM"
"FAM21C",1.88952380712026e-144,0.547600334297126,0.374,0.094,4.93940418419307e-140,"2","FAM21C"
"F13A1",2.21092118818987e-144,0.737086735299591,0.252,0.046,5.77956907804713e-140,"2","F13A1"
"SERP1",2.66394807627811e-144,0.352344675393363,0.463,0.131,6.96382666619861e-140,"2","SERP1"
"IFI27L2",9.19878482127206e-144,0.576270911783185,0.287,0.059,2.40465434012873e-139,"2","IFI27L2"
"RASSF3",1.82205864994052e-143,0.410004809469944,0.318,0.07,4.7630435168095e-139,"2","RASSF3"
"PPP1CB",3.16827858319835e-143,0.455621283494672,0.337,0.079,8.2821970443388e-139,"2","PPP1CB"
"KIAA0100",7.99525636970192e-143,0.544787609689162,0.309,0.068,2.09003996760378e-138,"2","KIAA0100"
"CITED2",1.10752848740611e-142,0.889149004028558,0.261,0.05,2.89519021892831e-138,"2","CITED2"
"GBP1",1.22112520561981e-141,0.482611191043933,0.413,0.111,3.19214340001074e-137,"2","GBP1"
"TPM4",2.26380503245742e-141,0.294316661181075,0.423,0.115,5.91781273534695e-137,"2","TPM4"
"PCMT1",2.91812638110909e-141,0.64882026630953,0.272,0.054,7.62827417285728e-137,"2","PCMT1"
"NMI",3.56227746298946e-141,0.623293821669274,0.295,0.063,9.31214951600074e-137,"2","NMI"
"CPD",7.00381169734299e-141,0.635259799296225,0.285,0.059,1.83086641580243e-136,"2","CPD"
"ANXA11",8.36642876934425e-141,0.443243217522518,0.427,0.118,2.18706814459428e-136,"2","ANXA11"
"USP4",1.0710520955911e-140,0.580654246780222,0.309,0.069,2.79983728308469e-136,"2","USP4"
"VAMP8",1.78158813570569e-140,0.329494738472928,0.43,0.119,4.65724954554825e-136,"2","VAMP8"
"RIOK3",2.8716753520411e-140,0.546116999866431,0.355,0.088,7.50684653777063e-136,"2","RIOK3"
"IRAK1",3.47313406941948e-140,0.595123399861408,0.337,0.081,9.07911977086945e-136,"2","IRAK1"
"CSK",1.94295897513477e-139,0.643602467105474,0.332,0.079,5.07908905689981e-135,"2","CSK"
"YBX1",1.97523283524214e-139,0.371980461724729,0.636,0.216,5.16345615460648e-135,"2","YBX1"
"CCND3",3.44091522898824e-139,0.342305155588644,0.52,0.16,8.99489650009815e-135,"2","CCND3"
"PLEKHB2",8.071272129954e-139,0.560264164094929,0.284,0.06,2.10991124749128e-134,"2","PLEKHB2"
"CNDP2",1.67716482983989e-138,0.505819028343274,0.333,0.079,4.38427658168446e-134,"2","CNDP2"
"SP110",1.73636112117023e-138,0.4375346730852,0.485,0.146,4.5390216068511e-134,"2","SP110"
"OSBPL8",7.05191289161787e-138,0.366706065953346,0.487,0.146,1.84344054899783e-133,"2","OSBPL8"
"MTMR3",7.07525590443111e-138,0.77957529615804,0.259,0.051,1.84954264597734e-133,"2","MTMR3"
"FLOT1",2.08200907151389e-137,0.590276128479972,0.328,0.078,5.44257991384446e-133,"2","FLOT1"
"CCT8",2.21008430795805e-137,0.589383689898157,0.316,0.073,5.77738138943314e-133,"2","CCT8"
"SEP15",2.21979353829889e-137,0.349102393738012,0.384,0.101,5.80276228846712e-133,"2","SEP15"
"MYO1G",4.31225646837177e-137,0.387652456094087,0.423,0.118,1.12726696339706e-132,"2","MYO1G"
"FMNL1",7.97894605724384e-137,0.453784917611389,0.388,0.104,2.08577628882411e-132,"2","FMNL1"
"ANO6",9.7029716111926e-137,0.629045252711537,0.276,0.057,2.53645380888186e-132,"2","ANO6"
"RPS91",1.10015697481248e-136,0.449335374899059,0.73,0.271,2.8759203478573e-132,"2","RPS9"
"IFI16",1.24456283917765e-136,0.403422830600707,0.66,0.232,3.25341171789429e-132,"2","IFI16"
"EP300",1.2485926452355e-136,0.369117331348503,0.452,0.132,3.26394603391011e-132,"2","EP300"
"ARHGAP30",1.42694281843315e-136,0.386043164234334,0.696,0.25,3.7301712216661e-132,"2","ARHGAP30"
"IQGAP2",1.65525698484371e-136,0.424005244252289,0.582,0.193,4.32700728407995e-132,"2","IQGAP2"
"B4GALT5",1.94182309959388e-136,0.621273002290084,0.285,0.061,5.07611976464836e-132,"2","B4GALT5"
"IFI35",2.2713036734787e-136,0.609400877272999,0.297,0.066,5.93741493284068e-132,"2","IFI35"
"PSMA7",3.64016256802479e-136,0.417815723890273,0.444,0.128,9.5157489690736e-132,"2","PSMA7"
"CERKL",6.17918587461686e-136,0.597041613988937,0.305,0.069,1.61530097948359e-131,"2","CERKL"
"SDHB",6.84127892029628e-136,0.839342189130195,0.252,0.049,1.78837872255465e-131,"2","SDHB"
"IFI44",9.17277061783695e-136,0.311543898631651,0.6,0.2,2.39785396720876e-131,"2","IFI44"
"PFDN51",2.6211546564633e-135,0.376660992694419,0.686,0.245,6.85196038746072e-131,"2","PFDN5"
"REEP5",2.63467228492846e-135,0.511367338970007,0.343,0.085,6.88729682003149e-131,"2","REEP5"
"PARP4",1.26847737269659e-134,0.398654835710465,0.368,0.096,3.31592669996617e-130,"2","PARP4"
"MAPRE1",1.9522294399528e-134,0.496815798606889,0.355,0.091,5.10332297898063e-130,"2","MAPRE1"
"LCP2",2.39197674485044e-134,0.380285978021712,0.427,0.12,6.25286640871354e-130,"2","LCP2"
"HLA-DRB5",2.92419289357646e-134,0.62796942203643,0.313,0.073,7.64413264309822e-130,"2","HLA-DRB5"
"IRF2BP2",8.85865454100183e-134,0.602139644374343,0.332,0.081,2.31574088356329e-129,"2","IRF2BP2"
"RSL1D1",1.56465142559239e-133,0.474778041277785,0.377,0.101,4.09015529164108e-129,"2","RSL1D1"
"EFHD2",2.81105344824475e-133,0.391226182163042,0.769,0.288,7.34837481905661e-129,"2","EFHD2"
"HCLS1",1.11778243671087e-132,0.414199043379197,0.68,0.246,2.9219950678059e-128,"2","HCLS1"
"LARP1",1.3052939192072e-132,0.43945585854209,0.419,0.12,3.41216883419954e-128,"2","LARP1"
"ATP5A1",3.81626570342917e-132,0.33085591736613,0.443,0.129,9.9761001753342e-128,"2","ATP5A1"
"ETF1",3.95039955441032e-132,0.547326245783559,0.292,0.065,1.0326739475184e-127,"2","ETF1"
"AGTPBP1",4.10180992117586e-132,0.611874295095223,0.317,0.076,1.07225413149458e-127,"2","AGTPBP1"
"KIDINS220",5.46710693951316e-132,0.390572768900447,0.381,0.103,1.42915642505814e-127,"2","KIDINS220"
"SEC14L1",5.80879381994815e-132,0.592347190082233,0.285,0.063,1.51847679247265e-127,"2","SEC14L1"
"BST2",8.73392767155557e-132,0.447182286813667,0.327,0.08,2.28313603262134e-127,"2","BST2"
"COX4I1",2.82761973054663e-131,0.38080794281583,0.716,0.264,7.39168073762196e-127,"2","COX4I1"
"VPS29",3.20858256893052e-131,0.660351215782192,0.267,0.056,8.38755569344128e-127,"2","VPS29"
"NARS",4.35265051680762e-131,0.521862264079405,0.298,0.068,1.13782637159868e-126,"2","NARS"
"LDLR",1.03687382111637e-130,0.694749072362645,0.276,0.06,2.7104918557803e-126,"2","LDLR"
"PSMD2",1.22596621826987e-130,0.360019017963017,0.379,0.102,3.20479829117927e-126,"2","PSMD2"
"DDX58",1.32014758167521e-130,0.440098250122632,0.335,0.083,3.45099779325717e-126,"2","DDX58"
"CYC1",1.42773543076868e-130,0.556469980432013,0.276,0.06,3.73224318957241e-126,"2","CYC1"
"YME1L1",1.51516774603684e-130,0.383146065286438,0.433,0.127,3.96080000491491e-126,"2","YME1L1"
"TCEB2",1.75189723023038e-130,0.399571075767902,0.377,0.102,4.57963454954525e-126,"2","TCEB2"
"HNRNPK",1.78083571675634e-130,0.312079954686692,0.59,0.199,4.65528264717275e-126,"2","HNRNPK"
"PSMB8",1.80755362676194e-130,0.338488611322204,0.479,0.148,4.72512593571839e-126,"2","PSMB8"
"BAZ1A",3.04343230966473e-130,0.385658242206469,0.424,0.123,7.95583640069456e-126,"2","BAZ1A"
"ACADVL",3.22383182724328e-130,0.382152737061376,0.473,0.145,8.42741877959665e-126,"2","ACADVL"
"DOK2",8.35335192671532e-130,0.456375946200958,0.336,0.084,2.18364972716265e-125,"2","DOK2"
"CAPN2",9.64003849882999e-130,0.371884487418988,0.659,0.236,2.52000246397915e-125,"2","CAPN2"
"ATP1A1",1.88895833082756e-129,0.363567807551555,0.412,0.118,4.93792597261634e-125,"2","ATP1A1"
"ROCK1",2.34256306690699e-129,0.258357962090104,0.484,0.15,6.12369411320155e-125,"2","ROCK1"
"FLI1",2.69389279746582e-129,0.290918044630518,0.347,0.089,7.04210516185539e-125,"2","FLI1"
"TYK2",5.1361206576678e-129,0.580027926948243,0.27,0.058,1.34263330112094e-124,"2","TYK2"
"CCDC69",5.343411348456e-129,0.387407004142865,0.56,0.188,1.39682116059988e-124,"2","CCDC69"
"NUP214",5.86224960882425e-129,0.523540603056575,0.262,0.055,1.53245067024275e-124,"2","NUP214"
"AIM1",2.26615918796153e-128,0.617543116409638,0.261,0.055,5.92396673325024e-124,"2","AIM1"
"ICAM3",2.6012039628631e-128,0.350062716250511,0.412,0.119,6.79980727932043e-124,"2","ICAM3"
"PTK2B",7.57867128267671e-128,0.455809184940133,0.354,0.093,1.98114046000452e-123,"2","PTK2B"
"ID2",9.15894152772768e-128,0.37681677754216,0.46,0.14,2.39423890476329e-123,"2","ID2"
"HEBP2",9.91312988839016e-128,0.615500572681991,0.258,0.054,2.59139128412407e-123,"2","HEBP2"
"ARL6IP5",1.07349959432439e-127,0.310585496262007,0.525,0.17,2.8062352895234e-123,"2","ARL6IP5"
"IGF2R",2.91936002646811e-127,0.332755199443816,0.49,0.155,7.6314990451903e-123,"2","IGF2R"
"PJA2",3.13316790109247e-127,0.359430534531624,0.352,0.093,8.19041421024582e-123,"2","PJA2"
"PRDX5",3.61385155861735e-127,0.44067053021983,0.321,0.079,9.44696935938161e-123,"2","PRDX5"
"TGFB1",3.81218517832369e-127,0.457148327432987,0.334,0.084,9.96543327465595e-123,"2","TGFB1"
"RPN2",4.09051948156199e-127,0.346481136892066,0.428,0.125,1.06930269767512e-122,"2","RPN2"
"ATP6V1G1",6.73575124327199e-127,0.267396461322206,0.449,0.135,1.76079273250373e-122,"2","ATP6V1G1"
"SH3BP2",1.09822978978814e-126,0.380421530124777,0.285,0.064,2.87088249348516e-122,"2","SH3BP2"
"MYO9B",1.67165203543798e-126,0.254575598803892,0.538,0.177,4.36986558583842e-122,"2","MYO9B"
"LMAN2",1.96373252549009e-126,0.320126963522214,0.368,0.099,5.13339319488365e-122,"2","LMAN2"
"PSMD1",6.74218758610174e-126,0.709430815867416,0.264,0.057,1.76247525688286e-121,"2","PSMD1"
"GTF2F1",6.78382223272696e-126,0.550849483872314,0.303,0.073,1.77335896985716e-121,"2","GTF2F1"
"DDX21",8.35720198339284e-126,0.354757012674028,0.441,0.133,2.18465617047872e-121,"2","DDX21"
"P4HB",1.5237261048205e-125,0.367400824497156,0.397,0.113,3.98317241061126e-121,"2","P4HB"
"AP3D1",1.67957744740821e-125,0.508353570401646,0.338,0.088,4.39058340526981e-121,"2","AP3D1"
"TMEM59",2.01076526449839e-125,0.28908090885256,0.403,0.116,5.25634147792525e-121,"2","TMEM59"
"PDCD6IP",3.02499268522798e-125,0.438377012499464,0.319,0.08,7.90763337845446e-121,"2","PDCD6IP"
"SSB",5.20985611526262e-125,0.623883229756928,0.267,0.058,1.3619084870908e-120,"2","SSB"
"PSME2",7.93484303857724e-125,0.319014866655611,0.536,0.178,2.07424731871448e-120,"2","PSME2"
"M6PR",1.19569193775242e-124,0.452623279855056,0.31,0.076,3.12565829447861e-120,"2","M6PR"
"WDR26",1.37409727795666e-124,0.291139151265997,0.412,0.12,3.59202769430651e-120,"2","WDR26"
"SLC3A2",1.91970282163956e-124,0.462259643278495,0.306,0.074,5.01829514604797e-120,"2","SLC3A2"
"TBC1D1",2.06497421793908e-124,0.444950055795591,0.31,0.076,5.39804910311456e-120,"2","TBC1D1"
"TMEM50A",3.28719993830873e-124,0.376279593813227,0.337,0.087,8.59306935873285e-120,"2","TMEM50A"
"ARF6",3.74843501609603e-124,0.338173932340554,0.345,0.091,9.79878397557663e-120,"2","ARF6"
"IFI44L",3.90739032038117e-124,0.447616476273795,0.799,0.321,1.02143090365084e-119,"2","IFI44L"
"TMBIM4",5.20904414491816e-124,0.465464566870585,0.307,0.075,1.36169622992306e-119,"2","TMBIM4"
"MAP3K2",7.12006875514239e-124,0.300019233859276,0.375,0.103,1.86125717328177e-119,"2","MAP3K2"
"ZCCHC2",3.04115758156931e-123,0.301423845822476,0.391,0.111,7.94989003398034e-119,"2","ZCCHC2"
"SEPT2",6.27718449244061e-123,0.285743992414742,0.416,0.123,1.6409187981689e-118,"2","SEPT2"
"DTX3L",7.03106638459028e-123,0.271547504313076,0.509,0.165,1.83799106359575e-118,"2","DTX3L"
"COPB2",7.03620307436378e-123,0.686822071727208,0.252,0.054,1.83933384566944e-118,"2","COPB2"
"PSMB7",1.71083182343189e-122,0.466364128193234,0.272,0.061,4.4722854696333e-118,"2","PSMB7"
"CLIP1",1.94605897312098e-122,0.281401611861852,0.367,0.1,5.08719276163555e-118,"2","CLIP1"
"SERF22",2.52366368076879e-122,0.389289904670377,0.734,0.286,6.59710922789769e-118,"2","SERF2"
"PLIN2",7.28533616951699e-122,0.545612381003199,0.257,0.056,1.90445972807344e-117,"2","PLIN2"
"CD99",9.04052241677078e-122,0.332564620019632,0.389,0.111,2.36328296496805e-117,"2","CD99"
"SLA",1.31581647313437e-121,0.386033378222266,0.352,0.094,3.43967584242057e-117,"2","SLA"
"ECH1",1.62744215207232e-121,0.403675278736629,0.289,0.068,4.25429652973224e-117,"2","ECH1"
"ADAM8",1.75622416266057e-121,0.540613233647501,0.299,0.073,4.59094558361099e-117,"2","ADAM8"
"BAZ2B",3.2182248170745e-121,0.436368615418217,0.302,0.074,8.41276149431445e-117,"2","BAZ2B"
"COX8A",3.75610978408732e-121,0.336480616550512,0.276,0.063,9.81884658658266e-117,"2","COX8A"
"PIK3CD",4.32518793803931e-121,0.530205093041445,0.295,0.071,1.13064737888286e-116,"2","PIK3CD"
"SUMO3",1.130518049664e-120,0.407758287151219,0.292,0.07,2.95528723362666e-116,"2","SUMO3"
"IL10RA",2.10486901854595e-120,0.310379283721177,0.454,0.141,5.50233810138097e-116,"2","IL10RA"
"TBC1D9B",1.57244433670484e-119,0.532853640066263,0.297,0.073,4.11052674058013e-115,"2","TBC1D9B"
"TNIP1",1.95509907304252e-119,0.322230440534239,0.417,0.125,5.11082448684044e-115,"2","TNIP1"
"RNF10",3.25281628002351e-119,0.344304714822334,0.352,0.097,8.50318703760945e-115,"2","RNF10"
"ARHGAP9",4.06637870990909e-119,0.291114336622941,0.369,0.103,1.06299205855734e-114,"2","ARHGAP9"
"CCT6A",8.46485284567548e-119,0.505161213467493,0.29,0.071,2.21279718238803e-114,"2","CCT6A"
