"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AMICA12",2.01256331735043e-05,1.05085590740304,0.469,0.171,0.526104176788576,"10","AMICA1"
"TOP2B",2.03921543982787e-05,1.25278517012751,0.438,0.157,0.533071308125403,"10","TOP2B"
"HLA-DPB12",2.06543342562632e-05,1.19753669810143,0.531,0.222,0.539924951792977,"10","HLA-DPB1"
"SEC61B1",2.14720313069858e-05,1.18483982437865,0.281,0.077,0.561300370395915,"10","SEC61B"
"GNAS3",2.29325106187745e-05,1.11631279390645,0.719,0.384,0.599478760085385,"10","GNAS"
"RPSA3",2.58268960325418e-05,0.802067995375104,0.5,0.185,0.675140889186674,"10","RPSA"
"TUG1",3.15587845358092e-05,1.49636133135687,0.375,0.126,0.824978186550589,"10","TUG1"
"RPL23A",3.20633835407312e-05,0.679154780437561,0.469,0.167,0.838168909138255,"10","RPL23A"
"FAM96A",3.70628977603113e-05,1.83435016754745,0.25,0.067,0.968861210352297,"10","FAM96A"
"BLOC1S6",4.42499197698007e-05,1.16613378007536,0.281,0.079,1,"10","BLOC1S6"
"EIF3L",4.54845126549277e-05,1.30145051348638,0.312,0.095,1,"10","EIF3L"
"TXN",4.77137778766355e-05,1.69494686839225,0.281,0.084,1,"10","TXN"
"PHF20L1",4.92758955268672e-05,1.13981503977311,0.312,0.094,1,"10","PHF20L1"
"EIF4B3",4.99586584845342e-05,0.771809962168311,0.5,0.193,1,"10","EIF4B"
"SDHA",5.19126306474253e-05,1.52015289704024,0.281,0.082,1,"10","SDHA"
"ADD11",5.23809853219025e-05,0.971572395105704,0.531,0.218,1,"10","ADD1"
"COMMD6",5.26102894395653e-05,1.0191365591072,0.25,0.066,1,"10","COMMD6"
"RPS53",5.26703365114356e-05,1.03280192223295,0.719,0.374,1,"10","RPS5"
"CST32",5.55044504685317e-05,0.867167797116453,0.562,0.224,1,"10","CST3"
"SND11",5.70699095478455e-05,0.884870727989369,0.312,0.094,1,"10","SND1"
"SPCS31",5.79844843990116e-05,0.836344400558035,0.438,0.161,1,"10","SPCS3"
"RPL151",5.88999378193937e-05,0.920247171459932,0.688,0.369,1,"10","RPL15"
"PTMA3",5.89713629429271e-05,0.914610192224755,0.75,0.386,1,"10","PTMA"
"RABGAP1L",5.98821355461287e-05,1.26201298320231,0.344,0.112,1,"10","RABGAP1L"
"RPS232",6.66627700740733e-05,0.933549379262153,0.656,0.321,1,"10","RPS23"
"TAGLN22",7.05179378680066e-05,1.04002243421798,0.375,0.13,1,"10","TAGLN2"
"ILF21",7.28530933887557e-05,1.38122307804354,0.281,0.084,1,"10","ILF2"
"ITPR1",7.55549067415094e-05,1.35947492315991,0.25,0.068,1,"10","ITPR1"
"SSR31",7.55809758468097e-05,0.984887764758583,0.312,0.097,1,"10","SSR3"
"EEF1A12",7.67272089214551e-05,0.78457470249252,0.844,0.617,1,"10","EEF1A1"
"TUBB2",8.08194557378065e-05,1.30599803799093,0.25,0.07,1,"10","TUBB"
"CTSZ1",8.17970491708664e-05,1.57440842103195,0.375,0.133,1,"10","CTSZ"
"CLINT1",8.61871924320131e-05,2.15987532967241,0.312,0.107,1,"10","CLINT1"
"TAX1BP11",8.81026960115692e-05,0.954294525977919,0.438,0.166,1,"10","TAX1BP1"
"PIM31",8.89997911176303e-05,1.74627226687107,0.281,0.086,1,"10","PIM3"
"TOMM20",9.25884757259123e-05,1.53334570850593,0.312,0.103,1,"10","TOMM20"
"CAPG1",9.29254405990921e-05,1.64499704205856,0.312,0.104,1,"10","CAPG"
"PABPC13",9.81804441249199e-05,0.989112360685077,0.781,0.561,1,"10","PABPC1"
"PSMB32",0.000101432845979169,1.27937679620978,0.344,0.117,1,"10","PSMB3"
"RPL232",0.000102471857115295,0.664931702931347,0.719,0.341,1,"10","RPL23"
"ARL5A",0.000103499535372677,1.23119429954822,0.312,0.1,1,"10","ARL5A"
"SEP151",0.000103996982729025,1.32932905693916,0.375,0.139,1,"10","SEP15"
"SSR11",0.000108619807781874,1.66147261222722,0.375,0.139,1,"10","SSR1"
"NDRG1",0.00012709219977731,1.68749963473523,0.25,0.072,1,"10","NDRG1"
"SELL3",0.000137742087570332,0.844338823795622,0.75,0.39,1,"10","SELL"
"MED10",0.000144418294935799,1.48561118470657,0.25,0.072,1,"10","MED10"
"TM9SF31",0.000162826223857701,0.925612161526751,0.344,0.118,1,"10","TM9SF3"
"SREBF2",0.000166988962803044,1.63797096045636,0.25,0.075,1,"10","SREBF2"
"PLAC82",0.00016752410460233,0.877448053081452,0.625,0.31,1,"10","PLAC8"
"DBI1",0.000168301004156835,0.816222860262454,0.312,0.101,1,"10","DBI"
"PDIA41",0.000170140954072051,1.38135790895027,0.344,0.121,1,"10","PDIA4"
"METTL7A1",0.000175051058577263,1.07750989999793,0.281,0.089,1,"10","METTL7A"
"DNAJC31",0.000186007655824083,1.22785766809976,0.312,0.105,1,"10","DNAJC3"
"RPS192",0.000186461878647332,0.87400061201799,0.844,0.507,1,"10","RPS19"
"RASSF22",0.000188181632486259,1.02407575928873,0.406,0.158,1,"10","RASSF2"
"HNRNPH13",0.000192534670472375,0.962360638475793,0.562,0.268,1,"10","HNRNPH1"
"SLC38A21",0.00019470573428879,1.20317079066668,0.281,0.089,1,"10","SLC38A2"
"EIF2S31",0.000205469907672689,0.914799709443582,0.312,0.105,1,"10","EIF2S3"
"TBC1D5",0.000209072931398454,1.28895213977618,0.281,0.088,1,"10","TBC1D5"
"BRD22",0.000216771302528653,0.749456812013956,0.594,0.271,1,"10","BRD2"
"BAG1",0.000219090697564021,0.538045670292563,0.281,0.086,1,"10","BAG1"
"PPP6R1",0.000221409984525599,1.22534428206328,0.281,0.089,1,"10","PPP6R1"
"CCT7",0.000221659645103654,0.645985390541544,0.281,0.087,1,"10","CCT7"
"GLIPR11",0.000222711984032419,1.05033960924795,0.281,0.089,1,"10","GLIPR1"
"ZCCHC11",0.000222809532968084,0.807022686447055,0.25,0.072,1,"10","ZCCHC11"
"TARDBP",0.000231430939695822,1.69999225494134,0.25,0.076,1,"10","TARDBP"
"ARL6IP1",0.000240361048462561,1.55337059493783,0.25,0.076,1,"10","ARL6IP1"
"AP3D11",0.000244178713103069,0.943194740082105,0.344,0.121,1,"10","AP3D1"
"RPS111",0.000246629334884908,0.61052559711506,0.875,0.643,1,"10","RPS11"
"RICTOR",0.00025695031215776,1.07007550454621,0.281,0.09,1,"10","RICTOR"
"CTSC1",0.000268635807577296,1.4197313682881,0.344,0.126,1,"10","CTSC"
"SRP721",0.000272558652677116,1.39748646387171,0.344,0.126,1,"10","SRP72"
"HMGB12",0.000284763685377959,0.80521782044517,0.438,0.174,1,"10","HMGB1"
"PPIA1",0.000292444281293553,0.280218482484488,0.375,0.133,1,"10","PPIA"
"UBQLN1",0.000295073062585477,1.22819411283417,0.312,0.11,1,"10","UBQLN1"
"ELF2",0.000299783169720676,0.841504600467359,0.25,0.074,1,"10","ELF2"
"IDS1",0.000305981119120353,1.05651164829085,0.406,0.155,1,"10","IDS"
"NAGA1",0.000307518356691711,1.45125562512582,0.25,0.077,1,"10","NAGA"
"DMTF1",0.000327839016769367,1.09991327292918,0.25,0.076,1,"10","DMTF1"
"ZNF652",0.000335117250655203,0.670335424186087,0.25,0.075,1,"10","ZNF652"
"DNAJC10",0.000358550552235376,0.868419979282348,0.25,0.076,1,"10","DNAJC10"
"RPLP12",0.000367564268317058,0.66342995948687,0.812,0.527,1,"10","RPLP1"
"ALDH21",0.00037059762098746,0.99625121169752,0.25,0.077,1,"10","ALDH2"
"KIF5B",0.000393570469855344,0.718541347372879,0.438,0.181,1,"10","KIF5B"
"NUCKS12",0.000404321735287555,0.854892804328167,0.375,0.144,1,"10","NUCKS1"
"STARD7",0.000429102432383441,1.28429678202852,0.312,0.108,1,"10","STARD7"
"SEC631",0.000432191108468671,1.28317376903855,0.281,0.096,1,"10","SEC63"
"NPM13",0.000472532272183778,0.631674920198101,0.438,0.175,1,"10","NPM1"
"CANX2",0.000472673657792281,1.30758866252108,0.562,0.292,1,"10","CANX"
"CLTA1",0.000482181027847571,1.48143877688157,0.25,0.082,1,"10","CLTA"
